,LOCATION,TIME,Value
1574,BEL,2000,3.7167785189999996
1575,BEL,2001,1.099981192
1576,BEL,2002,1.70673452
1577,BEL,2003,1.037892824
1578,BEL,2004,3.5710740089999997
1579,BEL,2005,2.321654112
1580,BEL,2006,2.552219519
1581,BEL,2007,3.6770355880000003
1582,BEL,2008,0.44702089700000003
1583,BEL,2009,-2.020572065
1584,BEL,2010,2.864019
1585,BEL,2011,1.6945768419999998
1586,BEL,2012,0.7392808059999999
1587,BEL,2013,0.459253151
1588,BEL,2014,1.578647591
1589,BEL,2015,2.032566112
1590,BEL,2016,1.47827819
1591,BEL,2017,1.90417182
1592,BEL,2018,1.487539248
1593,BEL,2019,1.404453916
2096,HUN,1996,0.082410611
2097,HUN,1997,3.1431283660000005
2098,HUN,1998,3.900001507
2099,HUN,1999,3.071026652
2100,HUN,2000,4.479195915
2101,HUN,2001,4.074087017
2102,HUN,2002,4.741287442
2103,HUN,2003,4.084520073
2104,HUN,2004,4.822854321
2105,HUN,2005,4.243628635
2106,HUN,2006,4.031014793
2107,HUN,2007,0.24217437100000003
2108,HUN,2008,1.058291434
2109,HUN,2009,-6.699555097
2110,HUN,2010,0.664295447
2111,HUN,2011,1.8190796059999998
2112,HUN,2012,-1.471791113
2113,HUN,2013,1.962984806
2114,HUN,2014,4.1950822819999996
2115,HUN,2015,3.84555586
2116,HUN,2016,2.1999957219999997
2117,HUN,2017,4.322814009
2118,HUN,2018,5.094000209
2119,HUN,2019,4.927791971
2895,KOR,1961,6.935992652
2896,KOR,1962,3.8952725310000003
2897,KOR,1963,9.020877906
2898,KOR,1964,9.473513808
2899,KOR,1965,7.31843358
2900,KOR,1966,11.993956608
2901,KOR,1967,9.079822401
2902,KOR,1968,13.165544358
2903,KOR,1969,14.561366695999999
2904,KOR,1970,10.052734807
2905,KOR,1971,10.545513552000001
2906,KOR,1972,7.214235261000001
2907,KOR,1973,14.898340091
2908,KOR,1974,9.511845122
2909,KOR,1975,7.840126627999999
2910,KOR,1976,13.221350162
2911,KOR,1977,12.335982195
2912,KOR,1978,10.952985695
2913,KOR,1979,8.671226707
2914,KOR,1980,-1.64568764
